map_id,place_id,rank,marker,anchor,dx_mm,dy_mm
01-overview,athenae,1,city,,,
01-overview,sparta,1,city,,,
01-overview,corinthus,1,city,,,
01-overview,thebae,2,city,,,
01-overview,delphi,1,sanctuary,,,
01-overview,olympia,2,sanctuary,,,
01-overview,corcyra,2,city,,,
01-overview,amphipolis,2,city,,,
01-overview,byzantium,1,city,,,
01-overview,ilium,2,city,,,
01-overview,mytilene,2,city,,,
01-overview,chios,2,city,,,
01-overview,samos,2,city,,,
01-overview,ephesus,1,city,,,
01-overview,miletus,1,city,,,
01-overview,rhodos,2,city,,,
01-overview,syracusae,1,city,,,
01-overview,rhegium,2,city,,,
01-overview,taras,2,city,,,
02-mainland,dodona,2,sanctuary,,,
02-mainland,corcyra,2,city,,,
02-mainland,ambracia,2,city,,,
02-mainland,naupactus,2,city,,,
02-mainland,delphi,1,sanctuary,,,
02-mainland,thermopylae,2,pass,,,
02-mainland,thebae,1,city,,,
02-mainland,plataea,2,city,,,
02-mainland,chalcis,2,city,,,
02-mainland,athenae,1,city,,,
02-mainland,piraeus,2,city,,,
02-mainland,megara,2,city,,,
02-mainland,corinthus,1,city,,,
02-mainland,sicyon,2,city,,,
02-mainland,argos,1,city,,,
02-mainland,epidaurus,2,city,,,
02-mainland,mantinea,2,city,,,
02-mainland,tegea,2,city,,,
02-mainland,sparta,1,city,,,
02-mainland,olympia,1,sanctuary,,,
02-mainland,pylos,2,city,,,
02-mainland,sphacteria,2,island,,,
02-mainland,aegina,2,city,,,
02-mainland,melos,2,city,,,
02-mainland,delos,2,sanctuary,,,
03-aegean-asia-minor,potidaea,2,city,,,
03-aegean-asia-minor,olynthus,2,city,,,
03-aegean-asia-minor,amphipolis,1,city,,,
03-aegean-asia-minor,eion,2,city,,,
03-aegean-asia-minor,thasos,2,city,,,
03-aegean-asia-minor,samothrace,2,city,,,
03-aegean-asia-minor,byzantium,1,city,,,
03-aegean-asia-minor,sestos,2,city,,,
03-aegean-asia-minor,abydos,2,city,,,
03-aegean-asia-minor,lampsacus,2,city,,,
03-aegean-asia-minor,cyzicus,2,city,,,
03-aegean-asia-minor,ilium,1,city,,,
03-aegean-asia-minor,mytilene,1,city,,,
03-aegean-asia-minor,methymna,2,city,,,
03-aegean-asia-minor,phocaea,2,city,,,
03-aegean-asia-minor,clazomenae,2,city,,,
03-aegean-asia-minor,erythrae,2,city,,,
03-aegean-asia-minor,chios,1,city,,,
03-aegean-asia-minor,ephesus,1,city,,,
03-aegean-asia-minor,samos,1,city,,,
03-aegean-asia-minor,miletus,1,city,,,
03-aegean-asia-minor,halicarnassus,2,city,,,
03-aegean-asia-minor,cos,2,city,,,
03-aegean-asia-minor,cnidus,2,city,,,
03-aegean-asia-minor,rhodos,1,city,,,
04-sicily-magna-graecia,syracusae,1,city,,,
04-sicily-magna-graecia,segesta,2,city,,,
04-sicily-magna-graecia,selinus,2,city,,,
04-sicily-magna-graecia,himera,2,city,,,
04-sicily-magna-graecia,acragas,1,city,,,
04-sicily-magna-graecia,gela,2,city,,,
04-sicily-magna-graecia,camarina,2,city,,,
04-sicily-magna-graecia,catana,2,city,,,
04-sicily-magna-graecia,leontini,2,city,,,
04-sicily-magna-graecia,naxos_siciliae,2,city,,,
04-sicily-magna-graecia,messana,1,city,,,
04-sicily-magna-graecia,megara_hyblaea,2,city,,,
04-sicily-magna-graecia,motya,2,city,,,
04-sicily-magna-graecia,panormus,2,city,,,
04-sicily-magna-graecia,rhegium,1,city,,,
04-sicily-magna-graecia,locri,2,city,,,
04-sicily-magna-graecia,croton,2,city,,,
04-sicily-magna-graecia,sybaris_thurii,2,city,,,
04-sicily-magna-graecia,metapontum,2,city,,,
04-sicily-magna-graecia,taras,1,city,,,
04-sicily-magna-graecia,poseidonia,2,city,,,
04-sicily-magna-graecia,elea,2,city,,,
04-sicily-magna-graecia,cumae,2,city,,,
04-sicily-magna-graecia,neapolis,2,city,,,
